"country","variable","n","MAE","RMSE"
"Austria","Defence",4,0.00100699919362987,0.00127434913260723
"Ireland","Defence",4,0.0176116219844787,0.0203275183836153
"Iceland","Defence",4,0.0383674451854565,0.0451776639474774
"Portugal","Defence",4,0.0673247698720348,0.0682338834705226
"Switzerland","Defence",4,0.0499773245084967,0.0705535797054539
"Germany","Defence",4,0.0645134008944045,0.0798234059112038
"France","Defence",4,0.0660222437756252,0.08420876033339
"EU-27","Defence",4,0.0750000000000001,0.086602540378444
"Italy","Defence",4,0.0926407212660819,0.0933039745381571
"Finland","Defence",4,0.105128643271574,0.108856661422944
"Netherlands","Defence",4,0.113337231037213,0.113674355723358
"Czechia","Defence",4,0.109505744607936,0.116064859109779
"Croatia","Defence",4,0.103090240455246,0.122935427109709
"Slovenia","Defence",4,0.133825831168042,0.138907463979326
"Spain","Defence",4,0.108339563353398,0.141859045841629
"Slovakia","Defence",4,0.109227824917129,0.142335724209828
"Cyprus","Defence",4,0.135315557356392,0.171000126283985
"Malta","Defence",4,0.188619237394119,0.194207581797458
"Luxembourg","Defence",4,0.189885054918711,0.21501264358905
"Belgium","Defence",4,0.212919115810896,0.219257087428038
"Poland","Defence",4,0.141198889013159,0.23712109431448
"Greece","Defence",4,0.261799384000754,0.28480676242649
"Norway","Defence",4,0.229466329554598,0.286373712554052
"Romania","Defence",4,0.237185193114806,0.331593576847164
"Denmark","Defence",4,0.218556553977557,0.338120898952199
"Bulgaria","Defence",4,0.381515728949367,0.384699866157812
"Sweden","Defence",4,0.342895628162339,0.399013478723316
"Estonia","Defence",4,0.339125636238066,0.4168155880757
"Hungary","Defence",4,0.390830708243514,0.514745069940536
"Latvia","Defence",4,0.479113863781552,0.557289476701576
"Lithuania","Defence",4,0.575961906151312,0.628000520113631
